WEEK,MONTH,YEAR,STORE,CITY,ZIP,BRAND,MOVE,PRICE,QTY,REVENUE,PROFIT,CASE,COSMETIC,HABA,PHARMACY,INCOME,HSIZEAVG,HSIZE1,HSIZE2,HSIZE34,HHLARGE,SINGLE,RETIRED,UNEMP,WORKWOM,WRKCH5,WRKCH17,NWRKCH5,NWRKCH17,WRKCH,NWRKCH,WRKWNCH,move and profit score
173,1,1993,76,CHICAGO,60618.0,OTHERS,12,18.15,5,39.48,195.85,48,0.0,115624.8,32857.95,50.703065,13.695271,1.3485115,1.3846322999999998,1.5449868,0.72186955,1.587047,0.86078665,1.09176135,1.4817630000000002,0.34987025,0.4946097,0.3708325,0.2425634,0.84447995,0.61339587,1.1331431,207.85
173,1,1993,77,VERNON HILLS,60061.0,OTHERS,9,10.16,3,20.860000000000003,106.0,24,0.0,53477.34,21231.75,32.949363000000005,8.4748491,0.54093795,0.92307696,1.18170564,0.35427954,0.69199197,0.289706892,0.5460123,1.24249149,0.2163584699999999,0.4570412699999999,0.33627312,0.275248938,0.67339974,0.6115220699999999,0.73961685,115.0
173,1,1993,78,DOWNERS GROVE,60516.0,OTHERS,6,18.15,5,19.74,195.85,48,0.0,58519.6,0.0,54.795875,13.7757,1.0131285,1.531459,1.8993065,0.556106,1.23159535,0.4617815,0.8281687,2.11976125,0.33318175,0.71412325,0.500909725,0.3883329499999999,1.0473050000000002,0.88924265,1.39709175,201.85
173,1,1993,80,ARLINGTON HEIGHTS,60005.0,OTHERS,9,8.05,4,16.29,157.42,36,0.0,80886.8,25152.12,43.63804,10.529646,0.90636896,1.32453692,1.369534,0.399560184,1.01538468,0.47119592,0.65414256,1.6144144,0.20440448,0.62406944,0.3774814,0.34863524,0.82847392,0.7261166,1.07059908,166.42
173,1,1993,81,MOUNT PROSPECT,60056.0,OTHERS,14,14.74,5,34.410000000000004,188.06,42,0.0,74548.35,0.0,53.599675,12.5778545,1.2568696,1.7412986,1.5601465,0.44168532,1.37606635,0.5720789,0.715478,2.1477139000000003,0.23989167,0.71096925,0.3322693,0.3520990499999999,0.9508609,0.6843684,1.5683557,202.06
173,1,1993,83,LANSING,60438.0,OTHERS,8,11.75,4,18.4,147.36,36,0.0,79995.96,22329.36,41.824316,10.4596692,0.91545188,1.33090376,1.36103012,0.3926142,0.93370764,0.6811316,0.722129,1.3225292,0.16005276,0.467846544,0.34912608,0.33769376,0.62789928,0.68681984,1.01407228,155.36
173,1,1993,84,ORLAND PARK,60462.0,OTHERS,5,6.17,3,10.75,120.94,30,0.0,47308.05,0.0,32.296851000000004,9.1418325,0.4276932,0.87690282,1.21062648,0.4847775,0.69380856,0.3268814399999999,0.57092586,1.03907472,0.212479548,0.43326204,0.39589884,0.274374135,0.6457416,0.67027299,0.6372501,125.94
173,1,1993,86,CHICAGO,60618.0,OTHERS,5,4.7700000000000005,3,7.95,137.24,36,0.0,60513.27,10594.44,30.266913,7.5886782,0.97122528,0.86512506,0.80768028,0.3559694399999999,1.1536431,0.50687082,0.73376973,0.87962034,0.201490245,0.29580483,0.25385322,0.1809737699999999,0.49729509,0.43482699,0.65511687,142.24
173,1,1993,88,BENSENVILLE,60106.0,OTHERS,11,5.0600000000000005,3,19.81,119.39,30,0.0,40809.48,0.0,31.649415,8.2318146,0.69699051,0.9353397,0.96216684,0.40550301,0.82132629,0.36520263,0.47585541,1.20569988,0.17625,0.40171875,0.2296875,0.19453125,0.57796875,0.42421875,0.85872576,130.39
173,1,1993,89,CHICAGO,60632.0,OTHERS,6,4.0,4,6.0,17.700000000000003,42,0.0,58562.04,29235.002,41.232476,11.1616344,1.08957112,1.07637656,1.20071052,0.6333418,1.22817624,0.88127744,0.75280352,1.19156168,0.225916652,0.36574812,0.28102936,0.2268276,0.5916648,0.50785696,0.9792438,23.700000000000003
173,1,1993,89,CHICAGO,60632.0,RAVE AERO,24,7.0,7,24.0,56.4,48,0.0,102483.57,51161.2535,72.15683299999999,19.5328602,1.90674946,1.88365898,2.10124341,1.10834815,2.14930842,1.54223552,1.31740616,2.08523294,0.395354141,0.64005921,0.49180138,0.3969483,1.0354134,0.8887496800000001,1.71367665,80.4
173,1,1993,90,CHICAGO,60617.0,OTHERS,8,6.17,3,15.52,120.94,30,0.0,34802.76,0.0,31.513971,7.9844355,0.7859921999999999,0.89549751,0.9455253,0.37298499,0.8565104399999999,0.70607493,0.62477262,0.73338801,0.103239891,0.30820884,0.238710768,0.252811812,0.41144871,0.49152258,0.57644526,128.94
173,1,1993,91,OAK LAWN,60453.0,OTHERS,7,14.45,5,19.03,198.09,48,0.0,51601.0,0.0,52.692245,12.732898,1.37762115,1.5881747,1.492781,0.5414232,1.3021682,1.04934625,0.8941375,1.4454888,0.166691915,0.51674495,0.31519927,0.387937575,0.6834369,0.70313685,1.280707,205.09
173,1,1993,92,HAZEL CREST,60429.0,OTHERS,3,4.87,2,6.75,64.21000000000001,12,0.0,23322.44,0.0,21.315602,5.9158416,0.3438944,0.57128716,0.7838284,0.3009901,0.5153846,0.26660466,0.39370688,0.6460664,0.14234084,0.27244926,0.22435362,0.17180984,0.4147901,0.39616346,0.41537204,67.21000000000001
173,1,1993,93,EVANSTON,60202.0,OTHERS,14,16.330000000000002,6,31.32,229.42,54,0.0,142218.96,58399.68000000001,62.203140000000005,13.3478592,2.27498118,1.89181068,1.40120208,0.432006,2.70857136,0.7697405399999999,1.18799622,2.52382422,0.29043438,0.58156194,0.261321636,0.161506464,0.87199632,0.4228281,2.0905660800000003,243.42
173,1,1993,94,BLOOMINGDALE,60108.0,OTHERS,5,6.46,3,10.22,108.24,24,0.0,39922.74,0.0,32.233545,8.5350867,0.53874279,0.91548309,1.16144004,0.38433414,0.73559712,0.240802668,0.5315718899999999,1.20693969,0.24543048,0.4099332,0.37967982,0.200806752,0.65536365,0.58048659,0.77185365,113.24
173,1,1993,95,CHICAGO,60634.0,OTHERS,27,21.43,6,60.81,216.03,48,0.0,105014.1,45416.76,62.300832,15.2557668,1.71604302,1.8175296,1.83598152,0.63044592,1.672068,1.26075072,1.12503114,1.7570772,0.211216092,0.52758306,0.33282534,0.311795178,0.73879914,0.644620524,1.64984178,243.03
173,1,1993,97,AURORA,60506.0,OTHERS,2,3.47,2,3.47,75.36,18,0.0,17700.32,0.0,20.967492,5.5938554,0.453149,0.5904762,0.67772656,0.27864822,0.5356708,0.26986644,0.35574674,0.78043776,0.181026,0.2858749,0.181026,0.11103303,0.46690092,0.29205904,0.44281968,77.36
173,1,1993,98,CHICAGO,60638.0,OTHERS,17,16.37,7,40.42,166.66000000000005,54,17636.92,223860.98,83113.23999999999,74.015172,18.942525,1.62778658,2.24162694,2.2527205400000003,0.8778658699999999,1.92933216,1.46898255,1.25099772,2.0970908,0.306301422,0.73347799,0.4512250399999999,0.47717201,1.03977944,0.92839712,1.72747589,183.66000000000005
173,1,1993,98,CHICAGO,60638.0,RAVE AERO,25,3.0,3,25.0,24.0,18,7558.68,95940.42,35619.96,31.720788,8.118224999999999,0.69762282,0.96069726,0.96545166,0.37622823,0.82685664,0.62956395,0.53614188,0.8987531999999999,0.131272038,0.31434771,0.19338216,0.20450229,0.44561976,0.39788448,0.74034681,49.0
173,1,1993,100,CHICAGO,60608.0,OTHERS,23,27.88,12,40.74,287.45,102,29375.88,384011.64,121425.0,120.4389,36.9630888,3.10278264,2.62578084,3.67518456,2.59625208,4.3292724,2.25419664,2.8808952,3.20680728,0.7876647600000001,1.21250748,1.352054448,0.8858644800000001,2.00017224,2.23791876,2.277402,310.45
